name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Room_Essentials_Salad_Plate_Turquoise,65,177.19745206832886,13,28,38,52,27,30,37,49,10,23,31,46
007_tuna_fish_can,227,338.87125968933105,24,128,197,221,87,122,162,219,20,93,153,214
HP_Card_Invitation_Kit,1,84.28493666648865,0,0,1,1,1,1,1,1,0,0,1,1
Poise_Ultimate_Pads_Long,0,4.801738023757935,0,0,0,0,0,0,0,0,0,0,0,0
Room_Essentials_Dish_Drainer_Collapsible_White,5,30.33047771453857,0,0,0,2,3,3,3,5,0,0,0,2
Crayola_Model_Magic_Modeling_Material_Single_Packs_6_pack_05_oz_packs,1,76.59096550941467,0,0,0,0,0,0,1,1,0,0,0,0
008_pudding_box,82,210.69795989990237,2,26,61,78,38,45,58,82,2,25,51,78
11pro_SL_TRX_FG,11,85.90786719322205,1,1,3,5,3,6,7,11,0,1,3,5
Super_Mario_3D_World_Deluxe_Set,18,137.0615689754486,0,7,9,14,8,10,12,17,0,7,9,14
Rayna_BootieWP,6,110.58274602890016,1,2,3,5,4,4,5,6,1,1,3,5
Ecoforms_Pot_Nova_6_Turquoise,9,28.32672524452209,1,2,2,5,4,5,6,8,1,2,2,5
Timberland_Mens_Earthkeepers_Stormbuck_Lite_Plain_Toe_Oxford,8,75.30876040458679,0,1,3,3,4,5,8,8,0,1,3,3
Mens_Billfish_Slip_On_in_Coffee_nK6AJJAHOae,11,94.21144795417786,1,2,7,9,7,8,9,10,1,2,7,9
Canon_Ink_Cartridge_Green_6,34,205.49013471603396,3,11,16,24,13,15,21,32,3,11,16,24
adizero_F50_TRX_FG_LEA,18,103.3889741897583,0,1,4,9,7,10,15,18,0,1,4,9
029_plate,22,136.19632148742676,2,6,12,17,9,10,13,17,2,6,10,16
Timberland_Womens_Waterproof_Nellie_Chukka_Double,0,64.50746273994446,0,0,0,0,0,0,0,0,0,0,0,0
Tag_Dishtowel_18_x_26,11,171.12331414222717,3,9,9,9,9,9,10,11,3,9,9,9
019_pitcher_base,0,31.7502965927124,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_Chia_Serum,45,208.34086775779724,2,14,28,39,23,30,37,45,2,13,27,39
Perricone_MD_The_Metabolic_Formula_Supplements,0,43.70854926109314,0,0,0,0,0,0,0,0,0,0,0,0
LEGO_Creationary_Game_ZJa163wlWp2,0,15.283770084381104,0,0,0,0,0,0,0,0,0,0,0,0
Seagate_1TB_Backup_Plus_portable_drive_Blue,23,313.3942492008209,9,13,14,16,16,16,16,21,9,13,14,16
SAMOA,1,57.4876606464386,0,0,0,1,0,0,0,0,0,0,0,0
PureConnect_2_Color_BlckBrllntBluNghtlfeAnthrct_Size_70,3,59.02645468711853,0,0,1,1,1,1,3,3,0,0,1,1
Fisher_price_Classic_Toys_Buzzy_Bee,36,135.3776774406433,0,9,16,27,15,20,26,36,0,6,12,27
Now_Designs_Snack_Bags_Bicycle_2_count,11,154.37428951263428,3,7,9,11,5,7,10,11,3,5,9,11
LEGO_Star_Wars_Advent_Calendar,0,10.177284955978394,0,0,0,0,0,0,0,0,0,0,0,0
Epson_DURABrite_Ultra_786_Black_Ink_Cartridge_T786120S,26,205.27438306808472,1,8,16,21,18,20,22,26,1,8,16,21
CoQ10,121,429.0180957317352,4,68,104,121,83,90,95,121,4,64,91,121
Tiek_Blue_Patent_Tieks_Italian_Leather_Ballet_Flats,45,139.78491020202637,2,14,26,41,28,34,40,44,1,14,25,41
Tetris_Link_Game,0,17.078877449035645,0,0,0,0,0,0,0,0,0,0,0,0
Sperry_TopSider_tNB9t6YBUf3,1,79.96689939498901,0,1,1,1,0,0,1,1,0,0,1,1
Smith_Hawken_Woven_BasketTray_Organizer_with_3_Compartments_95_x_9_x_13,3,22.550167083740234,0,0,0,3,3,3,3,3,0,0,0,3
Mastic_Gum,168,372.33556723594666,5,65,114,162,90,108,120,166,5,63,98,161
Ecoforms_Plant_Saucer_S14NATURAL,101,224.9922342300415,13,48,60,83,39,46,56,76,9,36,47,73
Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_Coffee_K9e8FoV73uZ,21,103.40010643005373,2,10,17,20,14,16,19,21,2,10,17,20
Reebok_VERSA_TRAIN,0,42.04149031639099,0,0,0,0,0,0,0,0,0,0,0,0
Ecoforms_Plant_Pot_GP9AAvocado,31,166.0684781074524,2,10,13,19,13,14,19,28,2,10,12,18
Adrenaline_GTS_13_Color_DrkDenimWhtBachlorBttnSlvr_Size_50_yfK40TNjq0V,2,63.39561724662781,0,0,1,1,1,1,1,2,0,0,1,1
Tag_Dishtowel_Basket_Weave_Red_18_x_26,29,145.70084476470947,8,10,14,25,14,17,22,27,8,10,14,25
Perricone_MD_Vitamin_C_Ester_Serum,19,116.1868543624878,0,4,8,18,9,12,16,19,0,4,8,18
New_Super_Mario_BrosWii_Wii_Game,13,177.45183396339417,2,8,10,13,7,7,8,11,2,6,7,11
Bradshaw_International_11642_7_Qt_MP_Plastic_Bowl,7,38.077385663986206,1,5,5,6,7,7,7,7,1,5,5,6
Paul_Frank_Dot_Lunch_Box,0,19.512815952301025,0,0,0,0,0,0,0,0,0,0,0,0
Nintendo_Yoshi_Action_Figure,186,402.9045639038086,21,87,130,164,110,132,149,181,21,81,121,162
Firefly_Clue_Board_Game,0,19.69602942466736,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Betty_Chukka_Boot_in_Navy_Jersey_Sequin_y0SsHk7dKUX,10,119.10100388526917,0,1,4,6,6,6,6,9,0,0,3,6
Tory_Burch_Sabe_65mm_Bootie_Split_Suede_in_Caramel,2,112.57504725456238,0,0,0,2,0,1,1,2,0,0,0,2
Brisk_Iced_Tea_Lemon_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,0,19.129234313964844,0,0,0,0,0,0,0,0,0,0,0,0
Reebok_SH_PRIME_COURT_LOW,20,107.89815139770508,1,3,6,15,12,14,18,20,1,3,5,15
Pepsi_Cola_Wild_Cherry_Diet_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,0,13.728504419326782,0,0,0,0,0,0,0,0,0,0,0,0
030_fork,312,431.9865097999573,136,227,273,301,166,192,220,283,109,170,210,279
Shurtape_30_Day_Removal_UV_Delct_15,86,211.8035650253296,12,36,56,71,35,44,55,78,10,30,49,71
Perricone_MD_No_Lipstick_Lipstick,83,309.9772701263428,6,31,55,82,46,52,62,83,6,31,50,82
Lutein,155,390.5654039382935,6,61,103,147,91,101,111,155,6,60,93,147
Hasbro_Cranium_Performance_and_Acting_Game,0,34.74209213256836,0,0,0,0,0,0,0,0,0,0,0,0
Kingston_DT4000MR_G2_Management_Ready_USB_64GB,7,501.9094200134277,4,7,7,7,7,7,7,7,4,7,7,7
Wild_Copper_Tieks_Metallic_Italian_Leather_Ballet_Flats,44,166.33880972862244,1,15,33,44,22,35,41,44,0,12,30,44
Pass_The_Popcorn_Movie_Guessing_Game,0,31.56185913085937,0,0,0,0,0,0,0,0,0,0,0,0
TOP_TEN_HI,0,39.42973470687866,0,0,0,0,0,0,0,0,0,0,0,0
IsoRich_Soy,0,29.88049459457397,0,0,0,0,0,0,0,0,0,0,0,0
Schleich_Lion_Action_Figure,175,464.6259031295776,44,100,136,163,93,109,126,164,41,85,114,156
Perricone_MD_Hypoallergenic_Firming_Eye_Cream_05_oz,81,278.4803900718689,3,31,63,81,32,46,59,80,3,25,53,80
Craftsman_Grip_Screwdriver_Phillips_Cushion,67,418.3343048095703,21,44,50,62,50,54,55,66,21,44,50,61
Office_Depot_HP_920XL_920_High_Yield_Black_and_Standard_CMY_Color_Ink_Cartridges,0,55.5064389705658,0,0,0,0,0,0,0,0,0,0,0,0
REEF_ZENFUN,45,210.3474645614624,9,20,30,40,30,35,41,43,8,18,29,40
Shurtape_Tape_Purple_CP28,59,136.81473875045776,4,19,34,46,18,25,38,53,4,16,30,46
Justified_The_Complete_Fourth_Season_3_Discs_DVD,14,155.13358759880066,2,8,12,14,11,13,14,14,2,7,12,14
Womens_Bluefish_2Eye_Boat_Shoe_in_Linen_Oat,32,123.7840404510498,2,7,17,27,20,22,29,32,0,5,17,27
CLIMACOOL_BOAT_BREEZE_IE6CyqSaDwN,6,55.8398232460022,0,0,0,1,2,2,5,5,0,0,0,1
Reebok_DMX_MAX_PLUS_ATHLETIC,3,49.83238434791565,0,0,0,2,1,2,2,3,0,0,0,2
Womens_Authentic_Original_Boat_Shoe_in_Classic_Brown_Leather_cJSCWiH7QmB,24,121.71168756484984,0,4,8,19,17,17,21,24,0,3,7,19
BlackBlack_Nintendo_3DSXL,71,208.72028875350952,25,43,50,65,35,40,51,64,18,34,42,63
Womens_Multi_13,122,271.79093408584595,2,22,69,111,50,65,94,122,2,22,62,111
Mens_Tremont_Kiltie_Tassel_Loafer_in_Black_Amaretto_rCdzRZqgCnI,31,114.79439043998718,2,9,15,24,16,23,27,30,2,9,15,23
AMBERLIGHT_UP_W,1,61.04637026786804,0,0,0,1,1,1,1,1,0,0,0,1
Santa_Cruz_Mens_umxTczr1Ygg,15,64.26843094825745,1,2,4,7,8,9,13,15,1,2,4,7
Mens_Tremont_Kiltie_Tassel_Loafer_in_Black_Amaretto,25,94.88595008850098,2,8,11,20,15,16,19,24,2,7,10,20
Epson_LabelWorks_LC5WBN9_Tape_reel_labels_071_x_295_Roll_Black_on_White,29,199.51113629341123,0,6,12,23,11,14,18,27,0,6,12,23
