name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_Coffee_K9e8FoV73uZ,407,245.18197298049927,141,235,288,345,295,305,330,380,141,226,273,338
Remington_TStudio_Silk_Ceramic_Hair_Straightener_2_Inch_Floating_Plates,421,230.32895755767825,141,249,307,369,301,320,341,383,140,239,294,362
Eat_to_Live_The_Amazing_NutrientRich_Program_for_Fast_and_Sustained_Weight_Loss_Revised_Edition_Book,261,138.9878396987915,74,155,190,231,178,185,200,241,71,145,178,225
Ecoforms_Plant_Container_Urn_55_Avocado,264,208.33358001708984,122,174,202,244,207,225,243,259,122,174,201,244
Santa_Cruz_Mens,343,213.9012739658356,109,192,249,299,255,279,303,330,106,187,245,297
TERREX_FAST_X_GTX,251,169.77861428260803,92,148,185,219,197,207,219,242,92,143,181,216
Firefly_Clue_Board_Game,66,46.55160212516785,26,37,48,52,61,62,63,66,26,37,48,52
Black_Elderberry_Syrup_54_oz_Gaia_Herbs,541,258.2957391738892,253,399,464,513,457,474,499,528,249,390,459,510
Womens_Authentic_Original_Boat_Shoe_in_Navy_Deerskin_50lWJaLWG8R,453,274.44963240623474,158,261,335,412,344,365,388,435,157,254,324,410
Black_Forest_Fruit_Snacks_28_Pack_Grape,114,70.19809627532959,50,76,94,106,100,108,111,113,50,76,94,106
Borage_GLA240Gamma_Tocopherol,747,379.2925679683685,475,613,669,702,651,668,688,709,475,608,661,698
Asus_M5A99FX_PRO_R20_Motherboard_ATX_Socket_AM3,61,48.82489252090454,17,38,42,51,54,55,57,60,17,38,42,51
Just_For_Men_Shampoo_In_Haircolor_Darkest_Brown_50,488,223.22734022140503,198,315,385,443,382,400,417,459,198,310,375,433
Tag_Dishtowel_Green,342,173.34593796730042,69,134,187,236,139,166,186,267,65,124,164,229
Justified_The_Complete_Fourth_Season_3_Discs_DVD,344,130.55360174179077,50,112,155,211,84,111,142,248,34,76,111,190
Just_For_Men_ShampooIn_Haircolor_Light_Brown_25,482,238.3643126487732,212,322,381,438,373,390,405,454,211,313,370,431
3D_Dollhouse_Sofa,331,172.15867447853088,57,129,187,258,193,211,242,292,54,120,173,249
LEGO_5887_Dino_Defense_HQ,84,70.58561778068542,7,19,32,55,60,65,69,77,7,19,32,54
Cascadia_8_Color_AquariusHibscsBearingSeaBlk_Size_50,355,220.1360785961151,121,209,268,317,278,289,303,339,119,204,257,311
Tiek_Blue_Patent_Tieks_Italian_Leather_Ballet_Flats,519,312.8006067276001,192,319,380,452,397,412,432,491,191,313,370,445
Ecoforms_Cup_B4_SAN,694,519.558580160141,381,504,550,604,536,562,587,645,380,490,533,585
Pokmon_X_Nintendo_3DS_Game,465,158.87181115150452,119,208,280,364,116,146,187,317,86,131,179,312
TriStar_Products_PPC_Power_Pressure_Cooker_XL_in_Black,0,13.618382453918455,0,0,0,0,0,0,0,0,0,0,0,0
Inositol,751,381.4684619903565,468,601,668,714,663,679,701,728,467,597,665,712
Perricone_MD_The_Power_Treatments,190,104.30099439620972,72,123,149,161,146,150,158,176,72,123,147,159
Germanium_GE132,923,413.77779507637024,597,766,843,889,807,833,857,893,591,739,821,883
Persona_Q_Shadow_of_the_Labyrinth_Nintendo_3DS,402,165.0967719554901,79,155,218,293,139,165,207,289,69,131,175,259
Twinlab_100_Whey_Protein_Fuel_Cookies_and_Cream,92,70.6073830127716,70,84,88,91,92,92,92,92,70,84,88,91
Samsung_CLTC406S_Toner_Cartridge_Cyan_1pack,66,44.217267751693726,29,48,54,57,58,62,65,66,29,48,53,57
043_phillips_screwdriver,887,493.3556499481201,558,743,795,843,664,710,745,812,533,685,734,809
REEF_BANTU,299,200.12065482139587,102,182,228,260,234,240,254,282,100,177,218,258
Olive_Kids_Robots_Pencil_Case,449,269.55935764312744,250,358,392,417,394,405,414,442,250,356,387,416
D_ROSE_773_II_hvInJwJ5HUD,256,167.1410677433014,75,154,185,218,198,212,221,243,75,153,181,217
UGG_Bailey_Button_Womens_Boots_Black_7,240,153.16394591331482,84,143,175,196,176,184,200,231,84,139,170,196
LEGO_Bricks_More_Creative_Suitcase,2,13.123629331588743,2,2,2,2,2,2,2,2,2,2,2,2
Perricone_MD_Chia_Serum,650,317.3078467845917,337,490,548,606,532,555,575,619,335,479,536,602
Olive_Kids_Birdie_Lunch_Box,110,83.32276940345764,47,76,88,100,98,103,104,110,47,76,88,100
Hilary,367,235.9158046245575,129,222,273,312,246,268,291,342,128,207,254,305
073-a_lego_duplo,960,1067.4878721237185,394,652,800,908,687,755,809,894,359,590,729,859
Perricone_MD_No_Mascara_Mascara,697,325.0452184677124,350,537,609,653,598,611,638,665,349,524,599,647
MARTIN_WEDGE_LACE_BOOT,262,171.66011500358582,90,162,197,235,219,224,241,254,90,160,193,234
Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_OysterTaupe_otyRrfvPMiA,341,219.4618549346924,131,218,261,309,278,295,312,335,130,216,256,308
Super_Mario_3D_World_Wii_U_Game,342,116.10608649253844,49,114,169,241,66,86,129,232,31,67,118,217
Dell_Series_9_Color_Ink_Cartridge_MK993_High_Yield,583,287.6164553165436,245,373,453,524,402,436,466,521,239,352,419,501
adiZero_Slide_2_SC,277,165.14226531982422,74,132,160,218,152,164,188,236,71,122,146,207
Rubbermaid_Large_Drainer,96,72.24153113365173,7,13,24,36,50,60,66,85,7,13,24,36
Real_Deal_1nIwCHX1MTh,271,192.75936079025269,98,171,211,244,216,224,236,263,98,170,206,243
Ecoforms_Plant_Container_FB6_Tur,199,146.7984700202942,79,130,153,173,145,156,162,188,79,129,148,171
Cole_Hardware_Saucer_Electric,556,352.937860250473,158,284,389,470,237,278,333,456,128,217,303,434
Perricone_MD_Photo_Plasma,371,187.32482028007507,157,251,292,337,310,322,335,356,154,248,290,336
Timberland_Womens_Classic_Amherst_2Eye_Boat_Shoe,414,261.50298619270325,173,268,313,372,332,351,368,398,171,262,307,371
50_BLOCKS,197,106.2785894870758,42,84,118,157,133,151,166,190,41,84,116,155
Reebok_ULTIMATIC_2V,434,260.68344259262085,128,254,331,387,340,358,380,415,126,245,317,382
DPC_Handmade_Hat_Brown,111,77.11526346206665,4,21,31,53,43,51,61,84,3,18,28,53
Womens_Sequin_Bahama_in_White_Sequin_yGVsSA4tOwJ,496,294.37515473365784,147,277,362,437,353,383,407,465,145,268,346,424
Asus_Z97IPLUS_Motherboard_Mini_ITX_LGA1150_Socket,56,46.136815309524536,17,34,46,50,46,50,54,56,17,34,46,50
Schleich_Hereford_Bull,668,359.1566767692566,159,321,447,583,424,464,501,596,153,301,408,563
Marc_Anthony_True_Professional_Oil_of_Morocco_Argan_Oil_Treatment,550,267.6446306705475,235,379,447,502,419,443,468,513,233,368,426,490
Ubisoft_RockSmith_Real_Tone_Cable_Xbox_360,457,278.1504864692688,117,246,325,400,271,296,335,410,111,223,300,391
ASICS_HyperRocketgirl_SP_5_WhiteMalibu_BlueBlack,514,325.81008291244507,234,334,384,436,410,422,445,495,234,332,379,436
Crayola_Washable_Fingerpaint_Red_Blue_Yellow_3_count_8_fl_oz_bottes_each,178,104.46564984321594,79,119,132,160,143,152,162,176,79,119,132,160
Brother_Printing_Cartridge_PC501,227,113.99903535842896,90,150,180,196,186,192,197,213,90,150,180,194
Metallic_Gold_Tieks_Italian_Leather_Ballet_Flats,524,306.9678957462311,222,348,410,469,416,440,456,489,220,341,402,464
Office_Depot_Canon_CLI_8CMY_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,333,175.5283260345459,157,225,275,323,272,288,308,331,157,223,272,322
Chelsea_BlkHeelPMP_DwxLtZNxLZZ,492,339.59442257881165,163,269,335,417,329,361,391,445,158,259,319,403
Womens_Canvas_Bahama_in_White_UfZPHGQpvz0,521,311.3637342453003,202,313,379,456,385,408,428,496,200,304,366,450
Mens_ASV_Shock_Light_Bungee_in_Light_Grey_xGCOvtLDnQJ,329,215.01156997680664,108,199,252,299,267,273,284,313,108,193,243,296
Matte_Black_Tieks_Italian_Leather_Ballet_Flats,516,321.6365797519684,202,322,394,466,398,419,441,489,198,310,380,461
Pokmon_Conquest_Nintendo_DS_Game,453,167.60851907730105,106,198,249,334,116,134,173,310,85,129,163,297
Ocedar_Snap_On_Dust_Pan_And_Brush_1_ct,214,122.50025820732117,35,81,111,142,120,134,149,190,35,75,106,142
Nips_Hard_Candy_Rich_Creamy_Butter_Rum_4_oz_1133_g,428,218.55083012580872,165,277,326,370,299,315,336,372,165,269,314,353
Leap_Frog_Paint_Dabber_Dot_Art_5_paint_bottles,154,81.45741605758667,49,94,118,135,128,135,138,149,49,93,117,134
Perricone_MD_Hypoallergenic_Firming_Eye_Cream_05_oz,924,443.8682351112366,544,815,891,922,879,895,905,920,544,807,883,920
017_orange,998,496.333012342453,986,997,997,998,997,997,997,998,986,997,997,998
Nestl_Skinny_Cow_Heavenly_Crisp_Candy_Bar_Chocolate_Raspberry_6_pack_462_oz_total,334,160.36843347549438,141,221,261,295,256,266,279,306,140,218,255,291
Room_Essentials_Kitchen_Towels_16_x_26_2_count,224,137.40275192260742,68,132,163,199,174,182,200,217,68,131,162,199
Mens_Gold_Cup_ASV_Capetown_Penny_Loafer_in_Black_EjPnk3E8fCs,403,266.3348455429077,161,265,311,355,320,335,351,385,160,262,307,352
Baby_Elements_Stacking_Cups,383,229.82316541671756,185,280,326,358,353,362,370,380,185,280,324,357
Melissa_Doug_Cart_Turtle_Block,158,85.91790652275085,28,63,92,125,121,129,134,150,28,63,91,125
Olive_Kids_Trains_Planes_Trucks_Munch_n_Lunch_Bag,76,76.24816179275513,16,27,34,50,54,57,65,73,16,27,34,50
Olive_Kids_Butterfly_Garden_Pencil_Case,457,273.6845383644104,295,366,403,430,401,417,431,453,294,363,401,430
Reebok_DMX_MAX_PLUS_RAINWALKER,244,163.01099491119385,90,144,176,215,196,210,215,238,88,142,172,215
Weston_No_33_Signature_Sausage_Tonic_12_fl_oz,607,310.0452311038971,345,464,525,567,529,548,557,588,344,461,520,565
PureCadence_2_Color_TleBluLmePnchSlvMoodIndgWh_Size_50_EEzAfcBfHHO,299,182.9261336326599,76,160,203,246,207,219,237,275,72,153,190,239
ZigKick_Hoops,223,145.99326610565186,94,147,167,194,180,193,200,218,92,146,165,192
065-i_cups,678,539.1948385238647,325,450,512,586,536,557,581,636,323,447,506,576
Nescafe_Momento_Mocha_Specialty_Coffee_Mix_8_ct,338,170.92478966712952,139,228,266,312,270,276,296,330,139,226,261,311
Pepsi_Max_Cola_Zero_Calorie_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,35,30.77855610847473,19,35,35,35,35,35,35,35,19,35,35,35
Office_Depot_HP_564XL_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,378,199.90707659721372,159,242,289,347,301,319,335,370,159,240,282,346
Office_Depot_HP_71_Remanufactured_Ink_Cartridge_Black,487,237.99633264541623,219,331,397,447,386,406,419,455,219,327,385,437
TOP_TEN_HI_60KlbRbdoJA,245,160.42133593559265,89,151,185,212,201,209,216,237,89,148,181,211
Reebok_TRIPLE_BREAK_LITE,380,223.78150367736816,139,236,294,333,289,306,323,353,138,231,283,329
Mens_Bahama_in_Khaki_Oyster_xU2jeqYwhQJ,369,230.5272645950317,127,216,272,323,289,308,330,355,123,209,264,322
Mist_Wipe_Warmer,9,21.45014977455139,8,8,9,9,9,9,9,9,8,8,9,9
Schleich_Therizinosaurus_ln9cruulPqc,270,146.07197070121765,45,95,133,193,146,162,181,231,43,89,123,186
ASICS_GELBlur33_20_GS_BlackWhiteSafety_Orange,379,239.7099907398224,141,228,278,327,299,315,329,365,141,226,273,325
Luigis_Mansion_Dark_Moon_Nintendo_3DS_Game,450,156.89117860794067,90,205,272,342,105,128,173,299,64,117,168,293
My_Monopoly_Board_Game,103,65.97514486312866,33,60,79,93,96,97,98,103,33,59,79,93
Perricone_MD_Best_of_Perricone_7Piece_Collection_MEGsO6GIsyL,174,91.95281791687012,84,120,140,159,154,158,162,172,84,120,140,159
Markings_Desk_Caddy,108,70.25925707817078,19,37,54,76,70,73,80,97,19,37,53,76
Reebok_DMX_MAX_PLUS_ATHLETIC,242,152.91947484016418,71,139,174,210,190,202,211,235,68,132,166,209
PureFlow_2_Color_RylPurHibiscusBlkSlvrWht_Size_50,307,191.95328998565677,114,184,226,272,236,248,269,297,111,175,218,271
Philips_60ct_Warm_White_LED_Smooth_Mini_String_Lights,142,80.3596670627594,64,95,113,128,116,123,131,138,64,95,113,128
Granimals_20_Wooden_ABC_Blocks_Wagon_g2TinmUGGHI,699,356.6810622215271,235,480,589,662,511,557,600,660,221,441,555,646
