name,number_successful_grasps,total_time,pos_drift_under_005,pos_drift_under_010,pos_drift_under_015,pos_drift_under_025,rot_drift_under_010,rot_drift_under_012,rot_drift_under_015,rot_drift_under_025,rot_pos_setting_1,rot_pos_setting_2,rot_pos_setting_3,rot_pos_setting_4
Canon_Pixma_Ink_Cartridge_8_Green,98,36.79173135757446,72,91,97,98,76,85,91,98,66,84,91,98
KITCHEN_SET_CLASSIC_40HwCHfeG0H,1,2.7032599449157715,1,1,1,1,1,1,1,1,1,1,1,1
Mattel_SKIP_BO_Card_Game,85,32.07287883758545,28,48,60,76,43,60,71,85,23,35,53,76
Kotobuki_Saucer_Dragon_Fly,64,46.77295708656311,44,60,64,64,40,43,50,64,37,43,50,64
Mens_Bahama_in_Khaki_Oyster_xU2jeqYwhQJ,2,3.6505398750305176,0,0,0,0,0,0,0,2,0,0,0,0
Asus_Z97IPLUS_Motherboard_Mini_ITX_LGA1150_Socket,0,2.59572696685791,0,0,0,0,0,0,0,0,0,0,0,0
45oz_RAMEKIN_ASST_DEEP_COLORS,19,20.87132048606873,13,17,18,19,14,17,18,18,13,16,18,18
Womens_Bluefish_2Eye_Boat_Shoe_in_White_Tumbled_YG44xIePRHw,3,4.940428733825684,1,1,1,1,1,1,1,1,1,1,1,1
CHICKEN_NESTING,0,2.403043270111084,0,0,0,0,0,0,0,0,0,0,0,0
DPC_Handmade_Hat_Brown,1,9.4559588432312,0,0,0,0,0,0,0,1,0,0,0,0
Room_Essentials_Fabric_Cube_Lavender,0,22.056600093841556,0,0,0,0,0,0,0,0,0,0,0,0
BUNNY_RATTLE,161,76.10336875915527,96,129,146,159,109,118,128,153,90,114,127,152
Great_Jones_Wingtip_kAqSg6EgG0I,0,3.2385754585266118,0,0,0,0,0,0,0,0,0,0,0,0
ReadytoUse_Rolled_Fondant_Pure_White_24_oz_box,0,1.611295461654663,0,0,0,0,0,0,0,0,0,0,0,0
MINI_FIRE_ENGINE,10,9.73880386352539,3,6,7,8,8,8,8,9,3,6,7,8
Teenage_Mutant_Ninja_Turtles_Rahzar_Action_Figure,62,35.44714903831482,32,47,55,61,49,52,57,62,32,45,54,61
Womens_Suede_Bahama_in_Graphite_Suede_p1KUwoWbw7R,33,20.3556764125824,13,19,21,28,16,21,27,33,9,16,20,28
Mens_Striper_Sneaker_in_White_rnp8HUli59Y,3,5.302813529968262,0,0,2,2,2,2,2,3,0,0,2,2
Wooden_ABC_123_Blocks_50_pack,0,2.365427732467652,0,0,0,0,0,0,0,0,0,0,0,0
InterDesign_Over_Door,99,47.69916272163391,25,52,67,81,70,75,79,96,24,51,64,81
Ultra_JarroDophilus,0,1.7458677291870115,0,0,0,0,0,0,0,0,0,0,0,0
Sootheze_Toasty_Orca,3,8.049200534820557,3,3,3,3,3,3,3,3,3,3,3,3
Reebok_FS_HI_INT_R12,2,4.782725095748901,1,1,1,2,2,2,2,2,1,1,1,2
Perricone_MD_The_Metabolic_Formula_Supplements,0,1.688037395477295,0,0,0,0,0,0,0,0,0,0,0,0
Wilton_Easy_Layers_Cake_Pan_Set,0,2.195953845977783,0,0,0,0,0,0,0,0,0,0,0,0
Big_O_Sponges_Assorted_Cellulose_12_pack,168,62.04640698432922,77,111,143,160,53,66,90,150,47,63,90,150
U_By_Kotex_Sleek_Regular_Unscented_Tampons_36_Ct_Box,0,1.7918941974639893,0,0,0,0,0,0,0,0,0,0,0,0
Perricone_MD_Health_Weight_Management_Supplements,0,1.691260814666748,0,0,0,0,0,0,0,0,0,0,0,0
Womens_Betty_Chukka_Boot_in_Grey_Jersey_Sequin,4,7.269552707672119,2,2,3,4,2,2,4,4,2,2,3,4
011_banana,117,44.82753872871399,100,113,115,117,114,115,117,117,100,113,115,117
PUNCH_DROP_TjicLPMqLvz,1,5.812953233718872,0,0,1,1,0,0,1,1,0,0,1,1
VANS_FIRE_ROASTED_VEGGIE_CRACKERS_GLUTEN_FREE,0,1.4256737232208252,0,0,0,0,0,0,0,0,0,0,0,0
Hyaluronic_Acid,0,2.1193959712982178,0,0,0,0,0,0,0,0,0,0,0,0
UGG_Bailey_Button_Triplet_Womens_Boots_Black_7,0,2.2377049922943115,0,0,0,0,0,0,0,0,0,0,0,0
DRAGON_W,1,3.788458824157715,0,1,1,1,1,1,1,1,0,1,1,1
Cole_Hardware_School_Bell_Solid_Brass_38,113,57.3927493095398,55,73,85,103,93,98,104,110,54,73,83,101
Ecoforms_Plant_Pot_GP9_SAND,2,10.109355926513672,2,2,2,2,2,2,2,2,2,2,2,2
Focus_8643_Lime_Squeezer_10x35x188_Enamelled_Aluminum_Light,231,82.42043232917786,57,95,120,165,114,139,161,208,56,89,118,165
Remington_TStudio_Hair_Dryer,3,7.546011209487915,0,2,2,3,2,2,2,3,0,2,2,3
Ecoforms_Plant_Container_Quadra_Sand_QP6,0,13.372434139251707,0,0,0,0,0,0,0,0,0,0,0,0
Black_Decker_Stainless_Steel_Toaster_4_Slice,0,4.480351209640503,0,0,0,0,0,0,0,0,0,0,0,0
PhosphOmega,0,2.2622861862182617,0,0,0,0,0,0,0,0,0,0,0,0
Nickelodeon_Teenage_Mutant_Ninja_Turtles_Leonardo,42,28.29373860359192,28,36,38,42,35,37,40,42,28,35,38,42
Animal_Planet_Foam_2Headed_Dragon,14,17.1844265460968,6,8,9,12,12,13,13,14,6,8,9,12
Ecoforms_Plant_Container_QP6CORAL,0,13.892791032791138,0,0,0,0,0,0,0,0,0,0,0,0
Reef_Star_Cushion_Flipflops_Size_8_Black,46,20.23338913917541,22,33,40,45,32,38,43,46,19,30,38,45
Ghost_6_GTX_Color_AnthBlckSlvrFernSulphSprng_Size_80,1,5.62045168876648,1,1,1,1,1,1,1,1,1,1,1,1
Marc_Anthony_True_Professional_Strictly_Curls_Curl_Defining_Lotion,29,15.626667499542236,9,15,20,23,23,26,27,28,9,15,20,23
029_plate,3,12.06562066078186,2,3,3,3,3,3,3,3,2,3,3,3
Office_Depot_HP_564XL_Remanufactured_Ink_Cartridges_Color_Cyan_Magenta_Yellow_3_count,0,1.4899108409881592,0,0,0,0,0,0,0,0,0,0,0,0
Justified_The_Complete_Fourth_Season_3_Discs_DVD,97,41.13134002685547,21,44,58,81,28,39,59,93,13,22,40,78
Canon_Pixma_Ink_Cartridge_251_M,75,30.92414331436157,52,71,74,75,48,58,67,75,40,58,67,75
Olive_Kids_Birdie_Pack_n_Snack,0,2.657139539718628,0,0,0,0,0,0,0,0,0,0,0,0
Epson_UltraChrome_T0543_Ink_Cartridge_Magenta_1pack,94,34.24654221534729,44,72,79,92,44,54,72,91,31,52,69,89
Reebok_GL_6000,0,3.6399409770965576,0,0,0,0,0,0,0,0,0,0,0,0
GARDEN_SWING,14,14.262232542037964,5,8,10,13,10,10,12,13,5,8,9,13
Grreat_Choice_Dog_Double_Dish_Plastic_Blue,4,8.973725318908691,0,0,0,1,0,2,2,4,0,0,0,1
Squirtin_Barnyard_Friends_4pk,3,5.931432247161865,0,1,1,1,1,1,1,1,0,1,1,1
REEF_BRAIDED_CUSHION,63,32.120529651641846,19,34,42,54,30,35,46,56,16,30,38,49
MINI_ROLLER,0,3.697033166885376,0,0,0,0,0,0,0,0,0,0,0,0
Bradshaw_International_11642_7_Qt_MP_Plastic_Bowl,1,18.466498851776123,1,1,1,1,1,1,1,1,1,1,1,1
021_bleach_cleanser,0,2.7934987545013428,0,0,0,0,0,0,0,0,0,0,0,0
Envision_Home_Dish_Drying_Mat_Red_6_x_18,3,5.729682445526123,1,1,2,3,3,3,3,3,1,1,2,3
PureConnect_2_Color_BlckBrllntBluNghtlfeAnthrct_Size_70,1,4.549195766448975,0,1,1,1,1,1,1,1,0,1,1,1
Brother_Ink_Cartridge_Magenta_LC75M,69,25.992608785629272,44,58,66,68,57,61,68,69,39,55,65,68
Olive_Kids_Birdie_Sidekick_Backpack,0,3.2295451164245605,0,0,0,0,0,0,0,0,0,0,0,0
Santa_Cruz_Mens_umxTczr1Ygg,1,3.3586366176605225,0,0,0,0,0,0,0,0,0,0,0,0
Melissa_Doug_Jumbo_Knob_Puzzles_Barnyard_Animals,34,23.03621077537537,4,11,18,27,11,13,19,31,3,7,16,26
Cole_Hardware_Deep_Bowl_Good_Earth_1075,20,19.196967601776123,2,8,11,16,15,15,17,19,2,8,11,16
065-h_cups,8,9.278591871261597,4,7,7,7,5,6,6,7,3,6,6,7
Colton_Wntr_Chukka_y4jO0I8JQFW,0,4.995938301086426,0,0,0,0,0,0,0,0,0,0,0,0
